WORD,AVERAGE_MISSES
aarhus,11
aaron,4
ababa,15
aback,17
abaft,15
abandon,12
abandoned,11
abandoning,10
abandonment,9
abandons,11
abase,13
abased,12
abasement,10
abasements,10
abases,13
abash,13
abashed,11
abashes,12
abashing,10
abasing,11
abate,13
abated,12
abatement,11
abatements,10
abater,12
abates,12
abating,11
abba,15
abbe,14
abbey,14
abbeys,13
abbot,13
abbots,12
abbott,13
abbreviate,13
abbreviated,12
abbreviates,12
abbreviating,11
abbreviation,11
abby,15
abdomen,10
abdomens,9
abdominal,9
abduct,11
abducted,10
abduction,8
abductions,7
abductor,9
abductors,8
abducts,10
abe,14
abed,13
abel,13
abelian,11
abelson,10
aberdeen,11
abernathy,10
aberrant,11
aberration,9
aberrations,8
abet,13
abets,12
abetted,12
abetter,12
abetting,10
abeyance,12
abhor,12
abhorred,10
abhorrent,9
abhorrer,11
abhorring,9
abhors,11
abide,12
abided,12
abides,11
abiding,11
abidjan,19
abigail,12
abilene,11
abilities,10
ability,12
abject,19
abjection,16
abjections,15
abjectly,17
abjectness,17
abjure,19
abjured,18
abjures,18
abjuring,17
ablate,12
ablated,11
ablates,11
ablating,10
ablation,10
ablative,13
ablaze,18
able,13
abler,12
ablest,11
ably,14
abner,12
abnormal,10
abnormality,8
abnormally,10
abo,14
aboard,12
abode,12
abodes,11
abolish,10
abolished,8
abolisher,8
abolishers,8
abolishes,9
abolishing,8
abolishment,6
abolishments,6
abolition,10
abolitionist,9
abominable,9
abominate,9
aboriginal,9
aborigine,9
aborigines,8
abort,12
aborted,10
aborting,9
abortion,10
abortions,9
abortive,12
abortively,10
aborts,11
abos,13
abound,11
abounded,10
abounding,9
abounds,10
about,12
above,15
aboveboard,13
aboveground,10
abrade,12
abraded,12
abrades,11
abrading,10
abraham,12
abram,13
abrams,12
abramson,10
abrasion,10
abrasions,10
abrasive,13
abreaction,8
abreactions,7
abreast,11
abridge,10
abridged,10
abridges,9
abridging,10
abridgment,7
abroad,12
abrogate,10
abrogated,9
abrogates,9
abrogating,9
abrupt,11
abruptly,10
abruptness,8
abscess,12
abscessed,11
abscesses,12
abscissa,12
abscissas,12
abscond,10
absconded,9
absconding,8
absconds,10
absence,11
absences,11
absent,11
absented,10
absentee,11
absenteeism,9
absentees,11
absentia,10
absenting,9
absently,10
absentminded,8
absents,11
absinthe,9
absolute,9
absolutely,9
absoluteness,8
absolutes,9
absolution,8
